tweet_id,timestamp,text,tags
748621170015076352,2016-06-30 20:56:10 +0000,Americans still need and are asking Congress to pass commonsense gun laws that strengthen background checks and keep our communities safe.,"[tweet, president, 2016]"
636923084818259968,2015-08-27 15:27:51 +0000,"Amidst global volatility, Congress should protect the momentum of our growing economy (not kill it). We must avoid shutdown / austerity.",
601082858497830913,2015-05-20 17:51:35 +0000,An honor to address the Coast Guard class of 2015. Confident they'll help us meet big challenges like climate change. http://t.co/1z4fteA1YJ,
708343852470435840,2016-03-11 17:28:29 +0000,"At #SXSW, I'll make the case that tech and innovation can make government work better for everyone. Here's how it's working better already:",
605803300093452289,2015-06-02 18:28:56 +0000,Awarded two Medals of Honor today for acts of bravery a century ago. We honor our heroes no matter how long it takes. http://t.co/AYazTecZpB,
763744742072913920,2016-08-11 14:31:50 +0000,"Been waiting to drop this: summer playlist, the encore. What's everybody listening to? https://t.co/mqh1YVrycj","[tweet, president, 2016]"
629342056876503040,2015-08-06 17:23:33 +0000,"Before 1965, African Americans faced poll taxes, literacy tests, or having to count jellybeans in a jar when they tried to register to vote.",
687692019372707840,2016-01-14 17:45:28 +0000,"Before I start, wanted to share this. Liberia is now Ebola-free. Great example of what we can achieve when we lead. https://t.co/qjVcwg8tIi",
720416675196223488,2016-04-14 01:01:34 +0000,"Big night of basketball - @Warriors chasing 73 and a farewell for an
all-timer, @KobeBryant. NBA fans feeling like: https://t.co/hvno2ZO5b0",
782970909229326336,2016-10-03 15:49:46 +0000,Bringing a little Austin to the South Lawn today. https://t.co/qCXwVI0uLH https://t.co/nTb10I3GHP,"[tweet, president, 2016]"
648543480277544960,2015-09-28 17:03:09 +0000,But this isn't just about what I can do as President. Every single one of us - from citizens to NGOs - can help refugees find safe haven.,
616339969125302276,2015-07-01 20:17:54 +0000,butler's a great player on o and d; let's sign him up long term. go bulls! https://t.co/IqbyUmcbmJ,
745327295544569856,2016-06-21 18:47:29 +0000,"By giving him its highest rating, the American Bar Association confirms what we all know: Judge Garland should serve on the Supreme Court.","[tweet, president, 2016]"
689842173999640576,2016-01-20 16:09:25 +0000,Cars and trucks made in the USA are more fuel efficient than ever before – and still the best in the world.,
693841529169952768,2016-01-31 17:01:26 +0000,Cedrick; way to go on your perfect score! How about you come by the next White House Science Fair? https://t.co/r8TGIJICh7,
789598150541635588,2016-10-21 22:44:03 +0000,Check out my newest science advisors! These kids are fearless in using science to tackle our toughest problems. Thanks for the inspiration. https://t.co/qe7h3IfTTZ,"[tweet, president, 2016]"
787047018606784512,2016-10-14 21:46:46 +0000,"Clearly, we still have more to do to prevent sexual assault and the thinking that leads to it. That starts with us: https://t.co/9PRZB451fS","[tweet, president, 2016]"
656893143015526404,2015-10-21 18:01:44 +0000,Communities are showing that we should approach substance use disorders as an opportunity to intervene rather than a race to incarcerate.,
654094154176315392,2015-10-14 00:39:33 +0000,Congrats @Cubs - even @whitesox fans are rooting for you!,
655044746759438336,2015-10-16 15:36:52 +0000,Congrats @HokuleaWWV on reaching Africa—midpoint of worldwide voyage to spread message of caring for the one planet we've got. #MalamaHonua,
753403382744780800,2016-07-14 01:38:58 +0000,"Congrats Carla Hayden, our newest Librarian of Congress! Her confirmation is certainly one for the history books.
https://t.co/5T8rvSRp9e","[tweet, president, 2016]"
677222716303364098,2015-12-16 20:24:12 +0000,"Congrats on a great career, Abby Wambach. For the goals you’ve scored &amp; the kids you’ve inspired, you’re the GOAT! https://t.co/Kud56ChsBO",
718579793919238144,2016-04-08 23:22:28 +0000,Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space exploration.,
610820023968514048,2015-06-16 14:43:36 +0000,Congrats to my hometown @NHLBlackhawks on 3 titles in 6 years - we'll see you and The Cup at the White House!,
770297035274584068,2016-08-29 16:28:19 +0000,Congrats to NASA and the scientists taking us a step closer to Mars. Now enjoy Hawaii and get a shave ice! https://t.co/lFZjSnn38x,"[tweet, president, 2016]"
622091025541136384,2015-07-17 17:10:33 +0000,Congrats to Oregon on passing two years of free community college! Every hardworking student deserves access to higher education.,
720476914243280896,2016-04-14 05:00:56 +0000,"Congrats to the @Warriors, a great group of guys on and off the court. If somebody had to break the Bulls' record, I'm glad it's them.",
